,y_test,y_pred
0,1,0.7238752
1,1,0.55175334
2,1,0.56456125
3,0,0.102781594
4,0,0.1734153
5,1,0.8674545
6,1,0.6026649
7,0,0.863405
8,1,0.5537937
9,1,0.9499735
10,0,0.02315607
11,0,0.23738788
12,0,0.062195297
13,1,0.70718366
14,1,0.36742386
15,1,0.56738967
16,0,0.10159389
17,0,0.022417398
18,1,0.90904456
19,0,0.033643957
20,0,0.036288463
21,0,0.18506923
22,0,0.13425928
23,1,0.24858093
24,0,0.48999417
25,0,0.80011326
26,0,0.85714245
27,0,0.026214255
28,1,0.70923114
29,0,0.025793938
30,1,0.9287401
31,1,0.9254215
32,1,0.27876195
33,0,0.29069424
34,0,0.073221914
35,0,0.05132224
36,1,0.7432848
37,1,0.83294773
38,0,0.91660506
39,1,0.91380197
40,0,0.110510685
41,1,0.39320922
42,1,0.3132326
43,1,0.89834654
44,0,0.34658346
45,0,0.016163016
46,0,0.018234404
47,1,0.56078076
48,1,0.3358662
49,0,0.038295332
50,1,0.674716
51,1,0.90583587
52,0,0.48738635
53,1,0.7002854
54,0,0.2972276
55,1,0.9807664
56,0,0.18893321
57,1,0.04306159
58,1,0.9186779
59,1,0.7429987
60,0,0.655262
61,0,0.018349972
62,0,0.3231181
63,0,0.14593107
64,1,0.73761564
65,0,0.12613958
66,0,0.89318514
67,0,0.26527664
68,0,0.41104418
69,1,0.6090301
70,0,0.076649845
71,0,0.06495596
72,0,0.061845575
73,1,0.42519182
74,0,0.10046909
75,0,0.7478979
76,0,0.025869368
77,1,0.7373448
78,0,0.8464799
79,1,0.7690772
80,1,0.8449142
81,1,0.92389053
82,1,0.8143197
83,1,0.93332404
84,1,0.79947877
85,0,0.8446542
86,1,0.8692487
87,1,0.68898994
88,0,0.1871873
89,0,0.18239772
90,0,0.589649
91,0,0.070214264
92,0,0.17973092
93,1,0.9294935
94,0,0.07481317
95,0,0.04322181
96,0,0.038026884
97,1,0.24174947
98,1,0.85620433
99,0,0.17999618
100,0,0.03506762
101,1,0.85756385
102,0,0.33215484
103,1,0.9444784
104,1,0.92135954
105,0,0.2536054
106,0,0.5802369
107,0,0.04475582
108,1,0.8992803
109,1,0.9414959
110,0,0.4011671
111,0,0.24053329
112,0,0.30282813
113,1,0.43064165
114,0,0.42995015
115,0,0.24958365
116,0,0.22228624
117,1,0.9564351
118,0,0.037163205
119,0,0.14596036
120,0,0.04802166
121,0,0.7819595
122,1,0.6994175
123,0,0.3429537
124,0,0.91562045
125,1,0.9494442
126,0,0.14135827
127,1,0.13752039
128,0,0.04776548
129,1,0.113808356
130,0,0.37773415
131,0,0.11902923
132,1,0.8978231
133,0,0.54797006
134,1,0.8931815
135,1,0.97474945
136,0,0.66880643
137,0,0.047194984
138,1,0.14410011
139,0,0.09715424
140,0,0.017835194
141,1,0.9748737
142,1,0.69947046
143,1,0.8257199
144,0,0.03901043
145,1,0.29185876
146,0,0.03236722
147,0,0.078086905
148,0,0.26613513
149,0,0.04916524
150,1,0.37718236
151,0,0.66409767
152,1,0.9449771
153,0,0.08369574
154,0,0.16041856
155,1,0.70253915
156,1,0.8609554
157,0,0.061891634
158,0,0.34459916
159,0,0.035092972
160,1,0.86008406
161,0,0.114804186
162,1,0.59633654
163,0,0.39625278
164,0,0.06400572
165,0,0.037011385
166,1,0.79471624
167,0,0.5015336
168,0,0.39912206
169,1,0.96708685
170,0,0.57964057
171,0,0.27829444
172,1,0.8521816
173,0,0.04017365
174,0,0.03179828
175,0,0.17256056
176,0,0.05124204
177,0,0.14308031
178,1,0.9845626
179,0,0.26800135
180,0,0.11559751
181,0,0.0501039
182,1,0.82923716
183,1,0.7301475
184,1,0.62554157
185,1,0.61705947
186,0,0.26950493
187,0,0.07511456
188,0,0.022435268
189,0,0.022871982
190,1,0.95051324
191,0,0.45645204
192,1,0.90317005
193,0,0.023304977
194,1,0.97904396
195,0,0.15184808
196,0,0.03972204
197,0,0.0652761
198,1,0.6519214
199,0,0.4796975
200,0,0.02170253
201,0,0.052064694
202,1,0.23829155
203,1,0.038821094
204,0,0.2794564
205,0,0.054643523
206,1,0.8798672
207,0,0.14211114
208,0,0.016104294
209,1,0.8413565
210,0,0.5086201
211,1,0.6841535
212,0,0.62179965
213,0,0.08780658
214,0,0.15885091
215,0,0.25295624
216,1,0.93534523
217,0,0.32456753
218,0,0.049319882
219,1,0.9561185
220,1,0.5534927
221,0,0.56010854
222,0,0.24148883
223,0,0.41349584
224,1,0.9291422
225,1,0.8747144
226,1,0.7636009
227,0,0.0370947
228,1,0.95330614
229,0,0.024033614
230,0,0.110898435
231,0,0.4880138
232,1,0.2448227
233,1,0.9639202
234,1,0.4557221
235,0,0.018475883
236,0,0.032892093
237,0,0.122668706
238,1,0.98339385
239,0,0.088008024
240,1,0.33394068
241,0,0.21877488
242,0,0.51854056
243,0,0.24415065
244,0,0.06362816
245,1,0.903258
246,0,0.12453347
247,1,0.946428
248,0,0.031469334
249,1,0.33872336
250,0,0.16949311
251,0,0.5109004
252,0,0.5746178
253,0,0.10694085
254,1,0.9475182
255,1,0.9719073
256,1,0.33036584
257,1,0.84965265
258,1,0.21130314
259,1,0.5535252
260,0,0.03550505
261,0,0.32937112
262,0,0.040324073
263,0,0.02310303
264,1,0.7939079
265,0,0.22159027
266,1,0.92426133
267,1,0.90905845
268,0,0.7506643
269,1,0.57112193
270,0,0.07116058
271,0,0.7594123
272,0,0.028925939
273,0,0.018471561
274,1,0.67833513
275,1,0.5050053
276,0,0.1337426
277,1,0.91055304
278,0,0.03163232
279,1,0.9276104
280,0,0.7212685
281,1,0.12809137
282,0,0.04416814
283,0,0.0489636
284,1,0.8247709
285,0,0.1855978
286,0,0.052199118
287,0,0.39405254
288,0,0.70955634
289,0,0.62357676
290,0,0.7926355
291,1,0.5053844
292,0,0.020427074
293,0,0.031969655
294,0,0.028279731
295,1,0.84295493
296,0,0.12566102
297,1,0.5455985
298,0,0.021361277
299,1,0.74268895
300,1,0.47553152
301,0,0.046700697
302,0,0.068039194
303,1,0.27615434
304,0,0.5783498
305,1,0.9465138
306,0,0.07345082
307,0,0.46450377
308,1,0.6602424
309,1,0.3161124
310,0,0.058969226
311,0,0.04167198
312,0,0.12495503
313,1,0.7924686
314,0,0.39345497
315,1,0.9496025
316,0,0.02836115
317,1,0.47704422
318,1,0.84233314
319,1,0.9364978
320,0,0.25488913
321,0,0.05920329
322,0,0.034024358
323,0,0.1418809
324,1,0.9254908
325,1,0.4757258
326,0,0.065180376
327,0,0.49718153
328,0,0.083916135
329,0,0.17371714
330,0,0.040703826
331,0,0.9144348
332,0,0.061358277
333,1,0.3027175
334,0,0.044215895
335,1,0.98588943
336,1,0.74655867
337,0,0.02051187
338,1,0.8293046
339,0,0.30685782
340,1,0.34065232
341,1,0.893228
342,0,0.28888997
343,0,0.021191478
344,0,0.03285821
345,0,0.038882345
346,1,0.67204547
347,1,0.8405634
348,0,0.037317414
349,0,0.07132568
350,1,0.5281513
351,0,0.2454941
352,0,0.10241608
353,1,0.8338051
354,1,0.98239857
355,1,0.902174
356,0,0.33919507
357,0,0.5616843
358,0,0.5564804
359,0,0.2779981
360,0,0.4874156
361,0,0.026478708
362,1,0.9729926
363,1,0.8091208
364,0,0.056286667
365,0,0.8745102
366,0,0.8774088
367,0,0.05037407
368,0,0.10694654
369,1,0.92548877
370,0,0.10554371
371,1,0.5009761
372,1,0.7712851
373,0,0.061163634
374,0,0.6953582
375,0,0.09873806
376,0,0.24490896
377,0,0.043196004
378,0,0.3693026
379,0,0.052485425
380,0,0.28054368
381,0,0.46279433
382,0,0.69322723
383,0,0.8073811
384,0,0.20972279
385,1,0.2582216
386,0,0.5892579
387,1,0.9256168
388,1,0.96504205
389,0,0.014655349
390,1,0.5272919
391,0,0.039891638
392,0,0.5620374
393,0,0.027164374
394,0,0.5719912
395,1,0.9674745
396,0,0.07396844
397,0,0.27396128
398,1,0.6590739
399,0,0.2045
